"MR1","MR2","MR3"
0.136592473210459,0.314636554997867,-0.041972979665857
0.115076185411608,0.31599734333209,0.00260546194524301
0.0654822929222595,0.293235433867472,-0.103239059936188
0.0427520920380904,0.278623683836372,-0.0772264918051246
-0.0192805833446758,0.250362408777188,-0.0918970228322698
0.0744184714527192,0.354580919233255,-0.0338723618097659
0.145608812449425,0.293081791384022,-0.0202847679210654
-0.0295864276819202,0.244429026114177,-0.0608583470880122
0.0924741533904591,0.306051107333114,0.0744046581639195
-0.0279258371337302,0.314841916422765,-0.0256351748128101
0.152772343224529,0.25742257815097,0.0958095319518199
0.0276169788602137,0.207395107609719,0.0072185555815186
0.196502332960469,0.184712178101889,0.17311486907453
0.436818300124834,0.116252420029503,0.0671571344311687
0.390679491210672,0.251510001354266,0.0521696245411976
0.176641690625644,0.180834822556727,0.38772528235583
0.349856076549434,0.176106721106508,-0.0517570705174437
0.294602297713536,0.354768135741924,0.0336913937545382
0.27794574042722,0.241253248994887,-0.00357586550401448
0.146645301009343,0.289891129826051,0.056446096532257
0.266928660880799,0.234660632579442,0.0355307116645257
0.383656920204386,0.146534816122713,0.147616982257134
0.158022149636471,0.185091623536727,0.145732713062396
0.286384506516802,0.103277751019445,0.128555723676992
0.163990804926493,0.0818650227452627,0.172833631014432
0.069077264883538,-0.00543047316921508,0.0918560492378818
0.082067952380635,-0.0923021843157305,0.0805038278300315
0.310330126368715,-0.0201828072155439,0.200785245549007
0.113762577759105,-0.0145248588941864,0.0834639442829238
0.208752187838957,-0.060160227821469,0.385559681396502
0.0387306558940826,0.0114729830572243,0.134037197023616
0.192601299341632,0.168739133000749,0.190163541375816
0.212663938254883,0.031304484566184,0.324382465523233
0.0777769626706497,0.118545836961167,-0.085774022210563
0.0925635007234095,0.244233584570377,-0.0924389080301236
0.332682223434984,0.220342412894586,-0.172134580064173
0.256886013144253,0.171616834012304,-0.052912910209227
0.280073309094785,0.294493662747931,-0.0778772054405446
0.159486752666176,0.113317131164828,-0.230716172419294
0.27998341645039,0.294923348399457,-0.139300668154465
0.213725871280609,0.236110331476033,-0.0225098722161279
0.335028949986226,0.170798323873457,0.0429688637430423
0.247126846951037,0.259387011756536,-0.0548494795664499
0.0910771743370392,0.362464336412156,-0.00535009066552693
-0.0412610860742451,0.488698987737578,0.0712245600185779
-0.192759313010246,0.539795465817682,0.178819248457726
-0.0813556242052568,0.500529903668503,0.00785342415809377
-0.145609942959892,0.508837155595425,0.100427221767172
0.257749141858839,0.502828062188809,0.0458462487544432
0.120672902694075,0.424928619109819,-0.0688245054110628
-0.152580226943986,0.571162395101039,0.0513319982278863
-0.0955673943654286,0.490383972259749,0.205018122760273
-0.124470652144538,0.560492018613948,-0.0462241058432159
-0.118638730426987,0.580124652772608,0.0157473272237994
